latitude,longitude,date_time,cluster
40.011824,116.297026,2008-11-11 00:17:04,-1
40.011438,116.29693,2008-11-11 00:17:09,-1
40.011447,116.29692800000001,2008-11-11 00:17:14,-1
40.011429,116.296871,2008-11-11 00:17:19,-1
40.011413,116.29683500000002,2008-11-11 00:17:24,-1
40.011387,116.29682,2008-11-11 00:17:29,-1
40.011384,116.29684099999999,2008-11-11 00:17:34,-1
40.011384,116.29684099999999,2008-11-11 00:17:37,-1
40.011390999999996,116.29683500000002,2008-11-11 00:17:39,-1
40.0114,116.29683700000001,2008-11-11 00:17:44,-1
40.011388000000004,116.296828,2008-11-11 00:17:49,-1
40.011388000000004,116.296828,2008-11-11 00:17:52,-1
40.011384,116.29683100000001,2008-11-11 00:17:54,-1
40.011373,116.29682700000001,2008-11-11 00:17:59,-1
40.01137,116.29681799999999,2008-11-11 00:18:04,-1
40.011373999999996,116.29680400000001,2008-11-11 00:18:09,-1
40.011388000000004,116.29677,2008-11-11 00:18:14,-1
40.011379999999996,116.29674299999999,2008-11-11 00:18:19,-1
40.011359000000006,116.296755,2008-11-11 00:18:24,-1
40.011351,116.29678700000001,2008-11-11 00:18:29,-1
40.01135,116.296797,2008-11-11 00:18:34,-1
40.011332,116.29675300000001,2008-11-11 00:18:39,-1
40.011316,116.296722,2008-11-11 00:18:44,-1
40.011303999999996,116.296726,2008-11-11 00:18:49,-1
40.01129,116.29673600000001,2008-11-11 00:18:54,-1
40.011289,116.29672,2008-11-11 00:18:59,-1
40.011316,116.296718,2008-11-11 00:19:04,-1
40.011315,116.29670800000001,2008-11-11 00:19:09,-1
40.011324,116.296695,2008-11-11 00:19:14,-1
40.011324,116.296695,2008-11-11 00:19:17,-1
40.011323,116.29669399999999,2008-11-11 00:19:19,-1
40.011293,116.296701,2008-11-11 00:19:24,-1
40.011269,116.29670700000001,2008-11-11 00:19:29,1
40.011247,116.296691,2008-11-11 00:19:34,1
40.011251,116.296669,2008-11-11 00:19:39,1
40.011264000000004,116.296644,2008-11-11 00:19:44,1
40.01128,116.296596,2008-11-11 00:19:49,1
40.011243,116.29656100000001,2008-11-11 00:19:54,1
40.011148999999996,116.296512,2008-11-11 00:19:59,1
40.01108,116.296501,2008-11-11 00:20:04,1
40.011091,116.296525,2008-11-11 00:20:09,1
40.011132,116.29653400000001,2008-11-11 00:20:14,1
40.01113,116.29652800000001,2008-11-11 00:20:19,1
