latitude,longitude,date_time
40.005474205407936,116.32781467329539,2009-06-01 08:29:32
40.00550122181121,116.32782269484123,2009-06-01 08:29:37
40.00557621555909,116.32781769296415,2009-06-01 08:29:42
40.00565924963045,116.32783373971495,2009-06-01 08:29:47
40.00578525321675,116.32783275334114,2009-06-01 08:29:52
40.00599135357518,116.32788088818239,2009-06-01 08:29:57
40.00610849576655,116.32795306625987,2009-06-01 08:30:02
40.006241421601395,116.32791098776327,2009-06-01 08:30:07
40.006465360942855,116.32787393209951,2009-06-01 08:30:12
40.006600271661604,116.32782383574002,2009-06-01 08:30:15
40.006881192591734,116.32777576235186,2009-06-01 08:30:20
40.00707902808488,116.32768458104557,2009-06-01 08:30:24
40.00696342841944,116.32789804935577,2009-06-01 08:30:29
40.00695833872307,116.32785094212882,2009-06-01 08:30:34
40.007383748808394,116.3270030803714,2009-06-01 08:30:39
40.007493381509875,116.32680665131596,2009-06-01 08:30:42
40.007758977660714,116.32658719036675,2009-06-01 08:30:47
40.00804176443046,116.32646795754155,2009-06-01 08:30:52
40.008321666793165,116.32640986202676,2009-06-01 08:30:57
40.00830921432239,116.32669951256874,2009-06-01 08:31:02
40.008565975238184,116.32656724700158,2009-06-01 08:31:07
40.00886389698787,116.32598998635093,2009-06-01 08:31:12
40.00893019618229,116.32561715799926,2009-06-01 08:31:17
40.009026541058184,116.32526738645015,2009-06-01 08:31:22
40.00923828425596,116.32512609688335,2009-06-01 08:31:27
40.009381796415454,116.32486352787888,2009-06-01 08:31:32
40.00931349184738,116.32470316110596,2009-06-01 08:31:37
40.00951543295747,116.32466710601287,2009-06-01 08:31:42
40.00977621473363,116.32454486602363,2009-06-01 08:31:47
40.00973016374083,116.32451880209005,2009-06-01 08:31:52
40.00964220503291,116.32454284466046,2009-06-01 08:31:57
40.009630204501605,116.32454284314784,2009-06-01 08:32:02
40.00969012243229,116.32449775009827,2009-06-01 08:32:07
40.00978191946369,116.32438751584921,2009-06-01 08:32:12
40.00973396626665,116.32441356789548,2009-06-01 08:32:17
40.009768967817045,116.32441357230715,2009-06-01 08:32:22
40.009757083983764,116.32447570936355,2009-06-01 08:32:27
40.00878468719804,116.32588073105504,2009-06-01 08:32:32
40.00879365921069,116.32586569843747,2009-06-01 08:32:37
40.008786683501604,116.32587872680676,2009-06-01 08:32:42
40.00877468675688,116.32588072979411,2009-06-01 08:32:47
40.00875975233116,116.32591580666693,2009-06-01 08:32:52
40.00886501441333,116.32605212607741,2009-06-01 08:32:57
40.00885994413956,116.32601504213248,2009-06-01 08:33:02
40.008852940044235,116.3260130367467,2009-06-01 08:33:07
40.008852940044235,116.3260130367467,2009-06-01 08:33:10
40.00885893652264,116.32601103300021,2009-06-01 08:33:12
40.008860906320784,116.32599499722932,2009-06-01 08:33:17
40.00886687440414,116.32597795971414,2009-06-01 08:33:22
40.00885680771277,116.32594287966735,2009-06-01 08:33:27
40.008822783499944,116.32593084837067,2009-06-01 08:33:32
40.008744600284636,116.32583562476103,2009-06-01 08:33:42
40.00894789690953,116.32598799244042,2009-06-01 09:55:12
40.00893096620577,116.3260250736015,2009-06-01 09:55:17
40.00892200178182,116.32604411524993,2009-06-01 09:55:22
